begin,end,sampledSeconds,nVehEntered,nVehLeft,nVehSeen,meanSpeed,meanTimeLoss
945,990,41.81485452,4,0,4,35.1458784,0.443830912
0,45,137.3107433,5,8,14,37.6531632,0.508073122
45,90,229.6542558,6,20,26,41.59999495,0.611457472
90,135,148.0299309,6,7,14,34.80807291,0.433548079
135,180,349.1471075,22,13,35,37.7611669,0.5109022
180,225,79.13512367,2,5,7,33.32752869,0.394766314
225,270,415.338282,16,26,42,38.34653966,0.526235608
270,315,64.66241743,0,5,6,34.8550992,0.434779898
315,360,400.8826019,12,28,41,39.13328687,0.546843871
360,405,85.7545841,4,4,8,36.8123724,0.486049227
405,450,279.5917497,9,21,31,40.98588573,0.595371333
450,495,158.8619207,9,7,16,37.6346466,0.507588094
495,540,294.1087823,7,24,32,40.921686,0.593689668
540,585,178.7615476,6,12,19,40.25285053,0.576170016
585,630,214.020016,11,11,23,40.68332577,0.587445998
630,675,350.522012,12,22,34,36.99834522,0.490920648
675,720,169.9921442,9,8,17,37.19262833,0.496009751
720,765,371.0363793,9,27,36,37.6263408,0.507370529
765,810,134.5025348,3,9,14,39.33513669,0.552131178
810,855,205.9432135,7,16,23,41.55924146,0.610389964
855,900,116.1420211,7,5,12,39.529512,0.557222696
900,945,110.0339146,4,9,13,43.29782474,0.655930872
945,990,40.41234171,3,1,4,36.4790736,0.47731871
0,45,164.6728006,8,7,15,34.7947488,0.435330631
45,90,194.676981,6,12,19,36.22929802,0.472995473
90,135,163.7420013,3,13,16,38.5666488,0.534363843
135,180,415.8097967,23,16,39,35.68129477,0.45860736
180,225,113.6540712,3,6,9,30.6738528,0.327134346
225,270,351.3593297,15,21,36,38.5072128,0.53280332
270,315,36.64189348,2,1,4,40.4155656,0.582908123
315,360,401.1413762,13,28,42,40.1092416,0.574865426
360,405,49.95645818,2,3,5,38.13048,0.522912003
405,450,240.0117545,8,17,26,40.08996886,0.57435941
450,495,114.4896902,6,5,12,38.6763768,0.537244809
495,540,259.006222,12,15,28,40.73887131,0.591396684
540,585,128.6402425,5,8,13,38.06042289,0.521072617
585,630,193.1719371,10,9,20,40.00463424,0.572118905
630,675,324.3285557,13,22,35,40.51063707,0.585404275
675,720,179.0093813,4,13,18,37.4806464,0.505850281
720,765,316.1557509,8,23,31,38.40338415,0.530077244
765,810,169.9163042,8,9,18,38.919912,0.543638954
810,855,189.7387061,3,17,20,40.39252272,0.58230312
855,900,118.6483895,8,4,12,38.9698992,0.544951394
900,945,108.2482308,6,7,13,44.60105575,0.692800361
945,990,10.15425532,1,0,1,35.4531168,0.452616428
0,45,165.7938871,9,5,14,32.72167337,0.380064574
45,90,191.502685,7,12,19,36.74963975,0.485717987
90,135,169.0307938,6,9,15,35.71061184,0.458464322
135,180,372.7160429,14,20,34,34.26030889,0.420422928
180,225,48.27272787,2,2,4,31.080456,0.337015501
225,270,387.4389229,17,21,40,38.5735068,0.533557954
270,315,62.04450201,5,0,5,31.84745472,0.35713385
315,360,465.0944956,17,27,46,38.03100918,0.519328261
360,405,70.30614499,2,5,7,37.30124983,0.500186699
405,450,357.7284238,18,20,38,39.63548615,0.561413634
450,495,113.2394202,6,5,11,36.06958865,0.467880271
495,540,325.6299253,17,17,34,39.55952584,0.559421198
540,585,163.0483785,7,8,15,34.44654528,0.425307902
585,630,182.6476696,7,10,18,38.7571488,0.538374877
630,675,442.910708,17,25,43,36.68360149,0.483985806
675,720,126.2740007,5,7,12,34.9602552,0.438782494
720,765,382.0385288,14,24,38,37.56422577,0.507084549
765,810,229.1178413,8,12,21,34.57320274,0.428630122
810,855,218.8107647,7,16,24,40.9939236,0.597045399
855,900,126.1056272,5,9,14,41.62688434,0.613647937
900,945,130.6183526,3,11,14,40.31485097,0.579233349
0,45,185.1793009,9,7,16,31.7223648,0.348220822
45,90,193.2519282,8,6,16,31.1277762,0.332730347
90,135,112.3387258,3,9,12,38.848284,0.533868305
135,180,211.0106152,10,8,18,31.8351408,0.351158911
180,225,60.52395366,2,3,5,31.4699904,0.341645857
225,270,360.024853,17,18,35,36.41119899,0.470376328
270,315,48.77641492,3,1,4,31.8128904,0.350579234
315,360,401.6936248,18,20,39,36.93247532,0.483956841
360,405,38.27196619,0,2,3,30.467808,0.315536574
405,450,347.8109604,15,18,34,35.81425101,0.454824385
450,495,100.1173784,2,5,9,35.8944672,0.456914211
495,540,342.2339372,16,17,35,38.72269769,0.530596477
540,585,156.069385,3,8,12,28.5740856,0.266200511
585,630,284.998728,10,13,26,35.02053526,0.434146164
630,675,369.3056867,15,20,36,36.1181904,0.462742744
675,720,199.1735153,7,11,19,35.94862535,0.458325163
720,765,376.7994209,19,14,35,35.222688,0.439412734
765,810,208.4818236,7,10,18,33.5444592,0.395690802
810,855,272.892734,8,16,24,34.2886284,0.415078215
855,900,98.68116355,5,5,10,39.97610496,0.563250777
900,945,143.9920204,2,12,14,36.33407589,0.468367084
0,45,157.5523672,10,3,13,31.35519803,0.342623751
45,90,203.145335,11,5,17,31.48160866,0.345933054
90,135,175.8563604,8,6,15,32.5965312,0.375120603
135,180,233.2631679,12,9,21,33.37507749,0.39550216
180,225,47.9049999,2,1,3,24.3449856,0.159103453
225,270,460.3253804,25,16,41,34.39731934,0.422263422
270,315,29.31362577,1,0,2,24.9027696,0.173705676
315,360,398.9378731,19,19,38,36.64944076,0.481221692
360,405,33.48991575,2,0,2,21.5121744,0.08494331
405,450,327.1722784,17,14,32,36.4074075,0.474885505
450,495,102.1372084,3,5,9,34.0290912,0.41262358
495,540,316.3354498,16,15,32,37.660707,0.507695623
540,585,95.29376438,3,5,9,34.9105728,0.435699881
585,630,246.4399964,12,10,22,35.35835171,0.447422281
630,675,281.5879577,13,12,26,34.47231729,0.424226793
675,720,182.4978385,5,10,16,32.8786236,0.382505498
720,765,342.2507677,9,19,31,35.01597461,0.438459194
765,810,134.9372429,4,6,12,34.367724,0.421488646
810,855,297.6056309,9,17,26,33.25560258,0.392374428
855,900,118.636346,4,4,9,29.090112,0.283326081
900,945,107.6356952,3,8,12,40.7648664,0.588959388
0,45,134.4007688,6,1,9,24.883872,0.173590949
45,90,209.5306068,6,10,16,28.5937452,0.270768344
90,135,46.33795008,2,1,3,23.8073184,0.145391421
135,180,476.8626649,20,20,40,31.85074656,0.356083094
180,225,15.4030042,1,0,1,23.372064,0.133990253
225,270,504.7149881,28,15,43,33.01970701,0.386703152
270,315,23.82532446,1,1,2,31.1572656,0.337917872
315,360,512.7249428,18,27,45,34.7971872,0.433262936
360,405,84.78768302,6,1,7,34.4765376,0.424863756
405,450,322.1756901,15,14,29,33.80530494,0.407281311
450,495,153.4046167,8,4,13,33.43327754,0.397536327
495,540,222.8449087,9,8,18,31.3291728,0.342420854
540,585,200.8710109,8,12,20,37.732716,0.510156949
585,630,169.4557054,10,2,13,29.69830523,0.29970148
630,675,434.0974111,20,21,41,36.20863422,0.47023475
675,720,136.8567729,6,2,10,27.53514432,0.243039074
720,765,479.0762204,20,21,41,32.94007797,0.384617328
765,810,113.1395247,3,6,9,32.1539616,0.364025589
810,855,387.9867161,14,18,32,31.2632217,0.340693314
855,900,91.39713852,6,0,6,24.1072416,0.153247688
900,945,203.9973424,6,9,15,27.99746496,0.255149222
945,990,10.77097799,1,0,1,33.4231488,0.397271012
0,45,131.6771379,5,6,11,31.85603345,0.290596089
45,90,103.2898038,2,5,9,32.711136,0.311233303
90,135,292.3557148,13,9,22,28.02752378,0.198198077
135,180,202.1030537,12,6,18,33.1640688,0.322164473
180,225,180.2967778,3,10,13,26.81667914,0.168975312
225,270,414.7034794,28,9,37,33.42730067,0.328517363
270,315,44.80629183,2,0,3,24.1877088,0.105527221
315,360,526.9702284,25,20,45,33.08201664,0.32018421
360,405,20.6035511,1,0,2,40.0287744,0.48783864
405,450,450.9135866,22,16,38,31.85461592,0.290561878
450,495,7.432804474,0,1,1,48.4339392,0.690690554
495,540,430.2942456,18,18,36,32.732472,0.31174823
540,585,76.37015581,3,2,6,29.407104,0.23149314
585,630,220.7806361,5,14,19,33.0720192,0.31994293
630,675,283.6931814,9,18,27,34.6350336,0.357665029
675,720,244.1906849,7,12,20,31.88366496,0.291262953
720,765,352.4532006,16,12,30,32.23113696,0.299648911
765,810,118.7327175,4,5,9,30.9237888,0.268097111
810,855,369.1182728,14,14,29,29.3371051,0.229803772
855,900,137.771223,5,5,11,31.06200175,0.27143277
900,945,83.09097486,1,6,7,31.18626514,0.274431767
0,45,106.2827992,5,4,10,35.63745984,0.450398129
45,90,38.62002259,2,2,4,37.9823472,0.51149995
90,135,297.2933373,11,13,24,30.8925468,0.326757722
135,180,150.2672542,10,4,14,35.52052114,0.447351003
180,225,174.6556125,7,8,15,34.23294144,0.41379994
225,270,135.5857655,6,7,13,35.40162905,0.444252976
270,315,74.31378836,4,2,6,31.4809632,0.342090362
315,360,338.592686,16,15,31,36.51606255,0.473292289
360,405,27.04141328,2,1,3,43.9899552,0.668042986
405,450,232.2159304,10,9,21,36.23009554,0.465840713
450,495,31.48890805,0,1,2,23.2184448,0.126790077
495,540,271.6419344,14,12,26,37.088064,0.488197196
540,585,34.96375481,1,3,4,41.6911536,0.608142043
585,630,257.2770502,12,11,24,36.2623608,0.466681464
630,675,162.158764,6,8,15,34.60894272,0.42359758
675,720,303.7619622,14,13,27,35.0328992,0.434644811
720,765,191.3323091,5,11,17,32.7318624,0.374685625
765,810,68.76069379,2,4,6,34.3613232,0.417145243
810,855,201.9981832,8,9,17,32.89903624,0.379041751
855,900,101.3700922,7,4,11,41.39339171,0.600383123
900,945,102.1110251,3,4,7,25.66224411,0.190469292
0,45,131.2884459,7,6,13,38.27228234,0.504419808
45,90,102.14033,5,5,10,36.90481824,0.469310071
90,135,220.6034046,8,12,20,33.7111848,0.387313307
135,180,124.8834581,6,6,12,36.0566208,0.447532541
180,225,100.1374101,6,3,9,34.9959168,0.420298891
225,270,224.321346,10,12,23,38.54172146,0.511337676
270,315,114.6980486,4,5,9,29.4668448,0.278339578
315,360,270.1733598,17,9,27,38.9205216,0.521063396
360,405,49.67441677,0,4,4,29.3604696,0.275608387
405,450,213.286825,11,10,21,38.56416686,0.511913963
450,495,51.1009834,0,3,3,21.5834976,0.075934083
495,540,277.0696813,16,10,27,38.4003296,0.50770743
540,585,36.17119877,3,1,4,40.5006048,0.561632144
585,630,262.4136368,10,16,26,39.09102203,0.525441007
630,675,152.7670631,10,5,15,36.39531456,0.456228528
675,720,235.2482817,9,12,21,34.66725531,0.411860485
720,765,156.8681418,9,6,16,37.873305,0.494176036
765,810,74.5093227,3,4,7,35.59733074,0.435740237
810,855,206.6278701,13,8,21,39.05010514,0.524390463
855,900,77.41194328,5,4,9,43.2291744,0.631688361
900,945,39.06206446,1,2,3,31.0493664,0.318970932
0,45,62.347918,2,3,6,36.9490752,0.48290236
45,90,104.557562,4,6,10,35.7548688,0.451838445
90,135,245.4735724,13,10,23,36.80611075,0.479183543
135,180,130.3294731,9,5,14,39.93942446,0.560687872
180,225,81.56529446,5,3,8,39.0275064,0.536966893
225,270,227.0149147,16,8,25,40.96672934,0.587410314
270,315,107.2872663,5,3,8,29.359098,0.285470485
315,360,328.9747175,10,23,33,39.65603171,0.553316208
360,405,129.0449428,2,6,9,26.3554464,0.207338951
405,450,174.6898185,7,11,18,40.770048,0.582294203
450,495,47.36203047,0,5,5,42.3220896,0.622666193
495,540,184.374089,12,5,17,38.50420066,0.523354568
540,585,61.18228106,2,4,6,37.3239792,0.492654432
585,630,224.1787646,13,10,25,43.36055539,0.649678955
630,675,180.4229514,11,7,18,37.5873264,0.499504667
675,720,226.080013,11,9,22,39.44821353,0.547910403
720,765,183.6181476,13,5,18,38.7388608,0.529458591
765,810,119.3613193,2,8,10,33.54823872,0.39443918
810,855,137.5487358,10,5,15,40.71055104,0.580746558
855,900,107.113258,3,6,9,35.2092768,0.437646406
900,945,59.72093008,3,2,5,35.61990336,0.448327699
0,45,76.79037241,3,4,7,33.94670811,0.387912984
45,90,77.03565746,7,1,8,38.452806,0.502884275
90,135,152.7110379,7,6,13,33.82154585,0.384719518
135,180,183.7531189,15,4,19,38.5035552,0.50417912
180,225,111.7403336,5,4,9,32.1954144,0.343229423
225,270,227.7543294,14,10,24,39.9579084,0.541286363
270,315,109.8554742,4,5,9,30.8250336,0.308264703
315,360,283.759052,18,12,30,40.76724384,0.561936234
360,405,126.6353416,5,5,10,30.92903136,0.310918164
405,450,177.0499956,12,8,20,42.6814488,0.61077641
450,495,75.4660201,3,4,7,35.93592,0.438666932
495,540,138.912525,13,2,15,42.46619904,0.605284398
540,585,76.82807954,2,6,8,37.705284,0.483811549
585,630,265.9410368,14,12,26,38.70697403,0.509369271
630,675,202.4998149,11,8,19,35.76151023,0.434216936
675,720,247.3024662,10,13,23,36.93635311,0.464192584
720,765,183.5517884,11,8,19,40.39549693,0.552451259
765,810,112.8644023,4,5,11,38.13048,0.494660255
810,855,130.8092606,10,4,14,39.8532096,0.538615014
855,900,148.2434752,6,9,15,39.13632,0.520323862
900,945,62.27221659,5,0,5,33.85986624,0.385697248
0,45,89.02020746,6,3,9,36.8186208,0.465298732
45,90,132.1649319,5,8,13,38.12372751,0.498743698
90,135,207.3663171,12,5,17,31.37317158,0.325752394
135,180,190.2060223,10,8,18,35.5512624,0.432821113
180,225,129.715178,7,4,11,34.80272902,0.413639024
225,270,241.3996601,12,12,24,38.2406652,0.50174037
270,315,128.0282102,5,5,10,29.01318048,0.265274717
315,360,224.3163172,12,11,24,41.2293816,0.578329906
360,405,87.50681812,5,2,7,30.27082011,0.297503281
405,450,168.9074854,10,7,19,41.92591377,0.5961794
450,495,57.66885304,2,4,6,39.017448,0.521646385
495,540,158.6728229,7,10,17,40.91886212,0.570372462
540,585,58.45815313,3,3,6,37.5690384,0.484529107
585,630,182.4565955,11,8,19,39.64010627,0.53760277
630,675,261.3121894,15,7,23,33.64546727,0.383982767
675,720,217.5775905,11,9,20,35.52663456,0.432189994
720,765,186.364458,9,10,19,37.78223798,0.489992608
765,810,164.64593,4,11,15,35.277552,0.425806947
810,855,146.4553832,10,5,15,38.16851904,0.499891536
855,900,139.2080621,7,5,12,32.6221344,0.357758603
900,945,55.16050159,2,2,4,30.0764448,0.292522174
0,45,79.16401689,5,2,8,36.9605052,0.492004609
45,90,122.4889472,6,5,11,33.96181353,0.413287729
90,135,169.5131229,10,7,17,37.65154955,0.510144806
135,180,158.4130242,5,10,15,34.96080384,0.439511632
180,225,108.7184145,5,5,11,39.02925207,0.546310059
225,270,178.8971864,12,7,19,40.27479613,0.579006099
270,315,196.6395725,4,11,16,30.9083202,0.333132283
315,360,213.9021066,8,14,22,38.9589264,0.544463982
360,405,117.2426296,2,8,11,35.45411433,0.452461234
405,450,173.4863002,10,8,19,40.87136994,0.594666405
450,495,64.32335761,1,6,7,39.5349984,0.559586107
495,540,189.2551455,14,5,21,42.5708064,0.639277306
540,585,58.34892105,1,5,6,37.6421904,0.509899124
585,630,249.6390201,13,11,25,38.1159959,0.522336712
630,675,194.8619662,10,7,18,34.750248,0.433984456
675,720,202.2745514,10,10,20,37.88468928,0.516264819
720,765,209.0702281,16,5,21,37.75479223,0.512854968
765,810,140.7764546,4,9,13,35.21593551,0.446208943
810,855,89.1902464,6,3,9,37.2941088,0.50076184
855,900,167.9586675,6,9,16,35.232975,0.446656237
900,945,78.17908759,5,3,8,39.7201644,0.56444679
0,45,112.6649786,6,4,11,36.76785775,0.486008104
45,90,70.77334443,4,3,7,37.97529326,0.517672929
90,135,130.81092,10,4,14,39.255192,0.551238092
135,180,185.9445029,13,4,17,34.25901798,0.420214138
180,225,124.9205777,10,3,13,38.64029317,0.535112457
225,270,202.0197385,16,3,19,35.4640896,0.45181697
270,315,126.205098,6,4,11,32.5233792,0.374697258
315,360,161.0175855,12,4,18,40.7237184,0.589749988
360,405,90.82213673,4,4,9,37.392864,0.502398804
405,450,154.2831142,11,6,18,42.7122336,0.641898516
450,495,98.56043915,2,9,11,41.01034124,0.597266631
495,540,113.6714729,6,5,13,43.232832,0.655551135
540,585,57.92135448,1,4,5,32.589216,0.376423818
585,630,241.5297479,10,11,22,35.39127011,0.449907289
630,675,124.2694172,5,5,10,30.4659792,0.320742235
675,720,188.8577397,10,9,19,37.32831057,0.5007059
720,765,144.0007172,4,7,12,32.4218808,0.372035476
765,810,170.3680524,8,9,17,36.92411746,0.490105993
810,855,119.1277842,11,2,13,40.10305182,0.573473095
855,900,163.1037065,8,8,17,38.24408075,0.524721843
900,945,27.55145994,3,0,3,42.9073056,0.647014252
0,45,70.76907046,5,1,7,37.63043383,0.50652038
45,90,101.2910173,5,4,9,35.0727264,0.43958819
90,135,206.7962003,13,8,21,38.70263314,0.534578573
135,180,216.6023342,14,7,21,36.18202423,0.468617207
180,225,115.0699182,8,5,13,42.47486474,0.633293429
225,270,201.9198532,14,6,20,37.59116688,0.50549281
270,315,183.9947348,5,11,17,34.13186259,0.414966892
315,360,250.686177,15,12,27,40.1913344,0.573536131
360,405,100.9655265,5,6,11,40.34499055,0.577557131
405,450,121.8304683,9,5,14,42.24763131,0.627346998
450,495,87.23243756,5,5,10,41.6253168,0.611061761
495,540,148.7621104,13,5,18,44.5654176,0.688000735
540,585,69.94868486,3,4,7,38.75906469,0.53605532
585,630,183.5025608,9,9,19,39.90749608,0.566108416
630,675,205.2250703,8,12,20,36.52186752,0.477510505
675,720,246.1973472,13,11,24,37.618416,0.506205887
720,765,200.8145792,12,5,18,34.5996768,0.427209039
765,810,169.4437975,6,10,17,37.95685158,0.515062348
810,855,195.9578,12,9,21,40.81359086,0.589819849
855,900,117.6524771,6,6,12,37.5608088,0.504698375
900,945,60.9837817,5,2,7,43.07764526,0.649067485
0,45,25.01864084,1,1,3,43.34256,0.654899445
45,90,146.0294637,5,8,13,34.34317588,0.419624676
90,135,175.1508018,9,8,17,36.50198739,0.476063413
135,180,231.9866043,15,4,19,30.92481549,0.33025701
180,225,128.9049684,6,7,14,39.72545486,0.56033591
225,270,201.9865852,11,8,19,36.53769145,0.47699684
270,315,174.7542986,11,4,15,33.01569216,0.384919698
315,360,205.5952758,15,6,22,40.01181644,0.567822384
360,405,79.76461395,1,7,8,37.0030248,0.48916225
